Stat,Player,Value,Team,Year
Tot Off,Peyton Bender,1522,Kansas  Jayhawks,2018
APY,Byron Pringle,1145,Kansas St. Wildcats,2018
FGM,Matthew McCrane,21,Kansas St. Wildcats,2018
Int,D.J. Reed,4,Kansas St. Wildcats,2018
Pass Eff,Alex Barnes,455.20,Kansas St. Wildcats,2018
Points,Matthew McCrane,106,Kansas St. Wildcats,2018
Punt Avg,Nick Walsh,482.0,Kansas St. Wildcats,2018
Punt Ret Yds,D.J. Reed,257,Kansas St. Wildcats,2018
Rec,Isaiah Zuber,51,Kansas St. Wildcats,2018
ReceivingYards,Byron Pringle,705,Kansas St. Wildcats,2018
Rush Net Yards,Alex Barnes,702,Kansas St. Wildcats,2018
Sacks,Will Geary,4.5,Kansas St. Wildcats,2018
Tackles,Trent Tanking,96,Kansas St. Wildcats,2018
Tot Off,Jesse Ertz,1266,Kansas St. Wildcats,2018
APY,Justin Rankin,801,Kent St. Golden Flashes,2018
FGM,Shayne Hynes,9,Kent St. Golden Flashes,2018
Int,Demetrius Monday,5,Kent St. Golden Flashes,2018
Pass Eff,Justin Rankin,438.40,Kent St. Golden Flashes,2018
Points,Shayne Hynes,41,Kent St. Golden Flashes,2018
Punt Avg,Derek Adams,518.9,Kent St. Golden Flashes,2018
Punt Ret Yds,Kavious Price,57,Kent St. Golden Flashes,2018
Rec,Justin Rankin,42,Kent St. Golden Flashes,2018
ReceivingYards,Trey Harrell,324,Kent St. Golden Flashes,2018
Rush Net Yards,Justin Rankin,490,Kent St. Golden Flashes,2018
Sacks,Jim Jones,6.0,Kent St. Golden Flashes,2018
Tackles,Jim Jones,98,Kent St. Golden Flashes,2018
Tot Off,George Bollas,1371,Kent St. Golden Flashes,2018
APY,Benny Snell,1377,Kentucky  Wildcats,2018
FGM,Austin MacGinnis,21,Kentucky  Wildcats,2018
Int,Mike Edwards,4,Kentucky  Wildcats,2018
Pass Eff,Lynn Bowden Jr.,218.20,Kentucky  Wildcats,2018
Points,Benny Snell,110,Kentucky  Wildcats,2018
Punt Avg,Matthew Panton,462.8,Kentucky  Wildcats,2018
Punt Ret Yds,Charles Walker,86,Kentucky  Wildcats,2018
Rec,Garrett Johnson,46,Kentucky  Wildcats,2018
ReceivingYards,Garrett Johnson,500,Kentucky  Wildcats,2018
Rush Net Yards,Benny Snell,1318,Kentucky  Wildcats,2018
Sacks,Josh Allen,7.0,Kentucky  Wildcats,2018
Tackles,Mike Edwards,90,Kentucky  Wildcats,2018
Tot Off,Stephen Johnson,2406,Kentucky  Wildcats,2018
APY,Derrius Guice,1253,LSU Fighting Tigers,2018
FGM,Connor Culp,11,LSU Fighting Tigers,2018
Int,Andraez Williams,5,LSU Fighting Tigers,2018
Pass Eff,Danny Etling,155.31,LSU Fighting Tigers,2018
Points,Derrius Guice,66,LSU Fighting Tigers,2018
Punt Avg,Zach Von Ronseberg,427.1,LSU Fighting Tigers,2018
Punt Ret Yds,DJ Chark,187,LSU Fighting Tigers,2018
Rec,DJ Chark,35,LSU Fighting Tigers,2018
ReceivingYards,DJ Chark,811,LSU Fighting Tigers,2018
Rush Net Yards,Derrius Guice,1153,LSU Fighting Tigers,2018
Sacks,Greg Gilmore,6.5,LSU Fighting Tigers,2018
Tackles,Devin White,127,LSU Fighting Tigers,2018
Tot Off,Danny Etling,2341,LSU Fighting Tigers,2018
APY,Marcus Green,1981,La.-Monroe Warhawks,2018
FGM,Craig Ford,10,La.-Monroe Warhawks,2018
Int,Roland Jenkins,2,La.-Monroe Warhawks,2018
Pass Eff,Garrett Smith,157.59,La.-Monroe Warhawks,2018
Points,Caleb Evans,78,La.-Monroe Warhawks,2018
Punt Avg,Harrison Heim,507.7,La.-Monroe Warhawks,2018
Punt Ret Yds,Marcus Green,101,La.-Monroe Warhawks,2018
Rec,Marcus Green,54,La.-Monroe Warhawks,2018
ReceivingYards,Marcus Green,829,La.-Monroe Warhawks,2018
Rush Net Yards,Derrick Gore,585,La.-Monroe Warhawks,2018
Sacks,Caleb Tucker,4.5,La.-Monroe Warhawks,2018
Tackles,Roland Jenkins,89,La.-Monroe Warhawks,2018
Tot Off,Caleb Evans,3447,La.-Monroe Warhawks,2018
APY,Antonio Gandy-Golden,1066,Liberty  Flames,2018
FGM,Alex Probert,14,Liberty  Flames,2018
Int,Jeremy Peters,3,Liberty  Flames,2018
Pass Eff,Stephen Calvert,142.28,Liberty  Flames,2018
Points,Alex Probert,80,Liberty  Flames,2018
Punt Avg,Trey Turner,411.6,Liberty  Flames,2018
Punt Ret Yds,DJ Stubbs,115,Liberty  Flames,2018
Rec,Antonio Gandy-Golden,69,Liberty  Flames,2018
ReceivingYards,Antonio Gandy-Golden,1066,Liberty  Flames,2018
Rush Net Yards,Carrington Mosley,896,Liberty  Flames,2018
Sacks,Juwan Wells,4.5,Liberty  Flames,2018
Tackles,Juwan Wells,74,Liberty  Flames,2018
Tot Off,Stephen Calvert,3339,Liberty  Flames,2018
APY,Ryheem Malone,879,Louisiana Ragin' Cajuns,2018
FGM,Stevie Artigue,10,Louisiana Ragin' Cajuns,2018
Int,Tracy Walker,2,Louisiana Ragin' Cajuns,2018
Pass Eff,Darius Hoggins,259.60,Louisiana Ragin' Cajuns,2018
Points,Stevie Artigue,61,Louisiana Ragin' Cajuns,2018
Punt Avg,Sam Geraci,476.9,Louisiana Ragin' Cajuns,2018
Punt Ret Yds,Ryheem Malone,146,Louisiana Ragin' Cajuns,2018
Rec,Ryheem Malone,44,Louisiana Ragin' Cajuns,2018
ReceivingYards,Ryheem Malone,676,Louisiana Ragin' Cajuns,2018
Rush Net Yards,Trey Ragas,813,Louisiana Ragin' Cajuns,2018
Sacks,Joe Dillon,4.5,Louisiana Ragin' Cajuns,2018
Tackles,Tracy Walker,97,Louisiana Ragin' Cajuns,2018
Tot Off,Jordan Davis,1733,Louisiana Ragin' Cajuns,2018
APY,Boston Scott,1411,Louisiana Tech Bulldogs,2018
FGM,Jonathan Barnes,25,Louisiana Tech Bulldogs,2018
Int,Amik Robertson,5,Louisiana Tech Bulldogs,2018
Pass Eff,J'Mar Smith,127.53,Louisiana Tech Bulldogs,2018
Points,Jonathan Barnes,118,Louisiana Tech Bulldogs,2018
Punt Avg,Brady Farlow,332.0,Louisiana Tech Bulldogs,2018
Punt Ret Yds,Teddy Veal,94,Louisiana Tech Bulldogs,2018
Rec,Teddy Veal,74,Louisiana Tech Bulldogs,2018
ReceivingYards,Teddy Veal,950,Louisiana Tech Bulldogs,2018
Rush Net Yards,Boston Scott,1047,Louisiana Tech Bulldogs,2018
Sacks,Jaylon Ferguson,7.0,Louisiana Tech Bulldogs,2018
Tackles,Dae'Von Washington,70,Louisiana Tech Bulldogs,2018
Tot Off,J'Mar Smith,3345,Louisiana Tech Bulldogs,2018
APY,Lamar Jackson,1443,Louisville  Cardinals,2018
FGM,Blanton Creque,15,Louisville  Cardinals,2018
Int,Trumaine Washington,4,Louisville  Cardinals,2018
Pass Eff,Lamar Jackson,151.52,Louisville  Cardinals,2018
Points,Lamar Jackson,102,Louisville  Cardinals,2018
Punt Avg,Mason King,483.0,Louisville  Cardinals,2018
Punt Ret Yds,Reggie Bonnafon,72,Louisville  Cardinals,2018
Rec,Jaylen Smith,53,Louisville  Cardinals,2018
ReceivingYards,Jaylen Smith,873,Louisville  Cardinals,2018
Rush Net Yards,Lamar Jackson,1443,Louisville  Cardinals,2018
Sacks,James Hearns,7.0,Louisville  Cardinals,2018
Tackles,Dorian Etheridge,77,Louisville  Cardinals,2018
Tot Off,Lamar Jackson,4932,Louisville  Cardinals,2018
APY,Keion Davis,1494,Marshall  Thundering Herd,2018
FGM,Kaare Vedvik,10,Marshall  Thundering Herd,2018
Int,Chris Jackson,3,Marshall  Thundering Herd,2018
Pass Eff,Chase Litton,131.41,Marshall  Thundering Herd,2018
Points,Kaare Vedvik,71,Marshall  Thundering Herd,2018
Punt Avg,Kaare Vedvik,572.2,Marshall  Thundering Herd,2018
Punt Ret Yds,Hyleck Foster,41,Marshall  Thundering Herd,2018
Rec,Tyre Brady,62,Marshall  Thundering Herd,2018
ReceivingYards,Tyre Brady,942,Marshall  Thundering Herd,2018
Rush Net Yards,Tyler King,820,Marshall  Thundering Herd,2018
Sacks,Ryan Bee,5.5,Marshall  Thundering Herd,2018
Tackles,Chase Hancock,128,Marshall  Thundering Herd,2018
Tot Off,Chase Litton,3127,Marshall  Thundering Herd,2018
APY,Ty Johnson,1592,"Maryland  Terrapins, Terps",2018
FGM,Henry Darmstadter,7,"Maryland  Terrapins, Terps",2018
Int,Darnell Savage,3,"Maryland  Terrapins, Terps",2018
Pass Eff,Tyrrell Pigrome,235.83,"Maryland  Terrapins, Terps",2018
Points,D.J. Moore,54,"Maryland  Terrapins, Terps",2018
Punt Avg,Wade Lees,466.5,"Maryland  Terrapins, Terps",2018
Punt Ret Yds,D.J. Moore,153,"Maryland  Terrapins, Terps",2018
Rec,D.J. Moore,80,"Maryland  Terrapins, Terps",2018
ReceivingYards,D.J. Moore,1033,"Maryland  Terrapins, Terps",2018
Rush Net Yards,Ty Johnson,875,"Maryland  Terrapins, Terps",2018
Sacks,Jermaine Carter,3.5,"Maryland  Terrapins, Terps",2018
Tackles,Jermaine Carter,90,"Maryland  Terrapins, Terps",2018
Tot Off,Max Bortenschlager,1326,"Maryland  Terrapins, Terps",2018
APY,Marquis Young,1503,Massachusetts  Minutemen,2018
FGM,Logan Laurent,13,Massachusetts  Minutemen,2018
Int,Lee Moses,4,Massachusetts  Minutemen,2018
Pass Eff,Andrew Ford,151.05,Massachusetts  Minutemen,2018
Points,Andy Isabella,68,Massachusetts  Minutemen,2018
Punt Avg,Logan Laurent,505.1,Massachusetts  Minutemen,2018
Punt Ret Yds,Isaiah Rodgers,36,Massachusetts  Minutemen,2018
Rec,Andy Isabella,65,Massachusetts  Minutemen,2018
ReceivingYards,Andy Isabella,1020,Massachusetts  Minutemen,2018
Rush Net Yards,Marquis Young,982,Massachusetts  Minutemen,2018
Sacks,Da'Sean Downey,6.0,Massachusetts  Minutemen,2018
Tackles,Bryton Barr,105,Massachusetts  Minutemen,2018
Tot Off,Andrew Ford,2787,Massachusetts  Minutemen,2018
APY,Darrell Henderson,1630,Memphis  Tigers,2018
FGM,Riley Patterson,9,Memphis  Tigers,2018
Int,TJ Carter,5,Memphis  Tigers,2018
Pass Eff,Riley Ferguson,161.53,Memphis  Tigers,2018
Points,Anthony Miller,102,Memphis  Tigers,2018
Punt Avg,Spencer Smith,443.6,Memphis  Tigers,2018
Punt Ret Yds,John Williams,93,Memphis  Tigers,2018
Rec,Anthony Miller,92,Memphis  Tigers,2018
ReceivingYards,Anthony Miller,1407,Memphis  Tigers,2018
Rush Net Yards,Darrell Henderson,1154,Memphis  Tigers,2018
Sacks,Genard Avery,6.5,Memphis  Tigers,2018
Tackles,Curtis Akins,79,Memphis  Tigers,2018
Tot Off,Riley Ferguson,4014,Memphis  Tigers,2018
APY,Travis Homer,1121,Miami (FL) Hurricanes,2018
FGM,Michael Badgley,16,Miami (FL) Hurricanes,2018
Int,Michael Jackson,4,Miami (FL) Hurricanes,2018
Pass Eff,Braxton Berrios,242.80,Miami (FL) Hurricanes,2018
Points,Michael Badgley,90,Miami (FL) Hurricanes,2018
Punt Avg,Zach Feagles,461.9,Miami (FL) Hurricanes,2018
Punt Ret Yds,Braxton Berrios,194,Miami (FL) Hurricanes,2018
Rec,Braxton Berrios,52,Miami (FL) Hurricanes,2018
ReceivingYards,Braxton Berrios,634,Miami (FL) Hurricanes,2018
Rush Net Yards,Travis Homer,902,Miami (FL) Hurricanes,2018
Sacks,Trent Harris,8.5,Miami (FL) Hurricanes,2018
Tackles,Jaquan Johnson,85,Miami (FL) Hurricanes,2018
Tot Off,Malik Rosier,3344,Miami (FL) Hurricanes,2018
APY,Kenny Young,1175,Miami (OH) RedHawks,2018
FGM,Sam Sloman,12,Miami (OH) RedHawks,2018
Int,Joshua Allen,3,Miami (OH) RedHawks,2018
Pass Eff,Gus Ragland,137.83,Miami (OH) RedHawks,2018
Points,Sam Sloman,71,Miami (OH) RedHawks,2018
Punt Avg,Kyle Kramer,484.6,Miami (OH) RedHawks,2018
Punt Ret Yds,Jared Murphy,37,Miami (OH) RedHawks,2018
Rec,James Gardner,47,Miami (OH) RedHawks,2018
ReceivingYards,James Gardner,927,Miami (OH) RedHawks,2018
Rush Net Yards,Kenny Young,781,Miami (OH) RedHawks,2018
Sacks,Doug Costin,5.0,Miami (OH) RedHawks,2018
Tackles,Brad Koenig,102,Miami (OH) RedHawks,2018
Tot Off,Gus Ragland,2155,Miami (OH) RedHawks,2018
APY,Karan Higdon,1049,Michigan  Wolverines,2018
FGM,Quinn Nordin,15,Michigan  Wolverines,2018
Int,Lavert Hill,2,Michigan  Wolverines,2018
Pass Eff,Brandon Peters,142.22,Michigan  Wolverines,2018
Points,Quinn Nordin,79,Michigan  Wolverines,2018
Punt Avg,Brad Robbins,369.1,Michigan  Wolverines,2018
Punt Ret Yds,Donovan Peoples-Jones,307,Michigan  Wolverines,2018
Rec,Sean McKeon,29,Michigan  Wolverines,2018
ReceivingYards,Grant Perry,307,Michigan  Wolverines,2018
Rush Net Yards,Karan Higdon,929,Michigan  Wolverines,2018
Sacks,Chase Winovich,8.0,Michigan  Wolverines,2018
Tackles,Devin Bush,93,Michigan  Wolverines,2018
Tot Off,Karan Higdon,929,Michigan  Wolverines,2018
APY,LJ Scott,908,Michigan St. Spartans,2018
FGM,Matt Coghlin,15,Michigan St. Spartans,2018
Int,David Dowell,5,Michigan St. Spartans,2018
Pass Eff,Trishton Jackson,142.00,Michigan St. Spartans,2018
Points,Matt Coghlin,77,Michigan St. Spartans,2018
Punt Avg,Jake Hartbarger,511.9,Michigan St. Spartans,2018
Punt Ret Yds,Laress Nelson,34,Michigan St. Spartans,2018
Rec,Felton Davis,51,Michigan St. Spartans,2018
ReceivingYards,Felton Davis,658,Michigan St. Spartans,2018
Rush Net Yards,LJ Scott,788,Michigan St. Spartans,2018
Sacks,Kenny Willekes,7.0,Michigan St. Spartans,2018
Tackles,Joe Bachie,94,Michigan St. Spartans,2018
Tot Off,Brian Lewerke,3066,Michigan St. Spartans,2018
APY,Ty Lee,1068,Middle Tenn. Blue Raiders,2018
FGM,Canon Rooker,14,Middle Tenn. Blue Raiders,2018
Int,Reed Blankenship,2,Middle Tenn. Blue Raiders,2018
Pass Eff,Patrick Smith,318.40,Middle Tenn. Blue Raiders,2018
Points,Canon Rooker,81,Middle Tenn. Blue Raiders,2018
Punt Avg,Matt Bonadies,503.6,Middle Tenn. Blue Raiders,2018
Punt Ret Yds,Reed Blankenship,69,Middle Tenn. Blue Raiders,2018
Rec,Ty Lee,79,Middle Tenn. Blue Raiders,2018
ReceivingYards,Ty Lee,955,Middle Tenn. Blue Raiders,2018
Rush Net Yards,Tavares Thomas,507,Middle Tenn. Blue Raiders,2018
Sacks,Khalil Brooks,7.5,Middle Tenn. Blue Raiders,2018
Tackles,Jovante Moffatt,101,Middle Tenn. Blue Raiders,2018
Tot Off,Brent Stockstill,1713,Middle Tenn. Blue Raiders,2018
APY,Rodney Smith,1447,Minnesota  Golden Gophers,2018
FGM,Emmit Carpenter,14,Minnesota  Golden Gophers,2018
Int,Jacob Huff,3,Minnesota  Golden Gophers,2018
Pass Eff,Conor Rhoda,126.58,Minnesota  Golden Gophers,2018
Points,Emmit Carpenter,73,Minnesota  Golden Gophers,2018
Punt Avg,Ryan Santoso,523.9,Minnesota  Golden Gophers,2018
Punt Ret Yds,Drew Hmielewski,25,Minnesota  Golden Gophers,2018
Rec,Tyler Johnson,35,Minnesota  Golden Gophers,2018
ReceivingYards,Tyler Johnson,677,Minnesota  Golden Gophers,2018
Rush Net Yards,Rodney Smith,977,Minnesota  Golden Gophers,2018
Sacks,Carter Coughlin,6.5,Minnesota  Golden Gophers,2018
Tackles,Thomas Barber,115,Minnesota  Golden Gophers,2018
Tot Off,Demry Croft,985,Minnesota  Golden Gophers,2018
APY,Aeris Williams,1161,Mississippi St. Bulldogs,2018
FGM,Jace Christmann,11,Mississippi St. Bulldogs,2018
Int,Mark McLaurin,3,Mississippi St. Bulldogs,2018
Pass Eff,Nick Fitzgerald,117.55,Mississippi St. Bulldogs,2018
Points,Nick Fitzgerald,84,Mississippi St. Bulldogs,2018
Punt Avg,Logan Cooke,472.1,Mississippi St. Bulldogs,2018
Punt Ret Yds,Deddrick Thomas,104,Mississippi St. Bulldogs,2018
Rec,Donald Gray,24,Mississippi St. Bulldogs,2018
ReceivingYards,Keith Mixon,275,Mississippi St. Bulldogs,2018
Rush Net Yards,Aeris Williams,1019,Mississippi St. Bulldogs,2018
Sacks,Montez Sweat,9.5,Mississippi St. Bulldogs,2018
Tackles,Mark McLaurin,65,Mississippi St. Bulldogs,2018
Tot Off,Nick Fitzgerald,2766,Mississippi St. Bulldogs,2018
APY,Larry Rountree,1106,Missouri  Tigers,2018
FGM,Tucker McCann,14,Missouri  Tigers,2018
Int,Anthony Sherrils,2,Missouri  Tigers,2018
Pass Eff,Drew Lock,169.42,Missouri  Tigers,2018
Points,Tucker McCann,92,Missouri  Tigers,2018
Punt Avg,Corey Fatony,539.5,Missouri  Tigers,2018
Punt Ret Yds,Richaud Floyd,218,Missouri  Tigers,2018
Rec,J'Mon Moore,60,Missouri  Tigers,2018
ReceivingYards,J'Mon Moore,1017,Missouri  Tigers,2018
Rush Net Yards,Ish Witter,992,Missouri  Tigers,2018
Sacks,Marcell Frazier,7.0,Missouri  Tigers,2018
Tackles,Cale Garrett,92,Missouri  Tigers,2018
Tot Off,Drew Lock,3806,Missouri  Tigers,2018
APY,Nyheim Hines,1774,NC State Wolfpack,2018
FGM,Carson Wise,6,NC State Wolfpack,2018
Int,Shawn Boone,3,NC State Wolfpack,2018
Pass Eff,Gavin Locklear,268.00,NC State Wolfpack,2018
Points,Jaylen Samuels,90,NC State Wolfpack,2018
Punt Avg,A.J. Cole,522.4,NC State Wolfpack,2018
Punt Ret Yds,Nyheim Hines,141,NC State Wolfpack,2018
Rec,Jaylen Samuels,69,NC State Wolfpack,2018
ReceivingYards,Kelvin Harmon,993,NC State Wolfpack,2018
Rush Net Yards,Nyheim Hines,1040,NC State Wolfpack,2018
Sacks,Bradley Chubb,10.0,NC State Wolfpack,2018
Tackles,Jerod Fernandez,93,NC State Wolfpack,2018
Tot Off,Ryan Finley,3395,NC State Wolfpack,2018
APY,Malcolm Perry,1689,Navy Midshipmen,2018
FGM,Bennett Moehring,8,Navy Midshipmen,2018
Int,Micah Thomas,3,Navy Midshipmen,2018
Pass Eff,Zach Abey,151.72,Navy Midshipmen,2018
Points,Zach Abey,90,Navy Midshipmen,2018
Punt Avg,Owen White,490.1,Navy Midshipmen,2018
Punt Ret Yds,Craig Scott,51,Navy Midshipmen,2018
Rec,Tyler Carmona,14,Navy Midshipmen,2018
ReceivingYards,Tyler Carmona,381,Navy Midshipmen,2018
Rush Net Yards,Zach Abey,1325,Navy Midshipmen,2018
Sacks,Josh Webb,4.0,Navy Midshipmen,2018
Tackles,Micah Thomas,81,Navy Midshipmen,2018
Tot Off,Zach Abey,2130,Navy Midshipmen,2018
APY,JD Spielman,1572,"Nebraska  Cornhuskers, Huskers",2018
FGM,Drew Brown,12,"Nebraska  Cornhuskers, Huskers",2018
Int,Joshua Kalu,2,"Nebraska  Cornhuskers, Huskers",2018
Pass Eff,Tanner Lee,129.42,"Nebraska  Cornhuskers, Huskers",2018
Points,Drew Brown,73,"Nebraska  Cornhuskers, Huskers",2018
Punt Avg,Caleb Lightbourn,499.0,"Nebraska  Cornhuskers, Huskers",2018
Punt Ret Yds,De'Mornay Pierson-El,92,"Nebraska  Cornhuskers, Huskers",2018
Rec,Stanley Morgan Jr.,61,"Nebraska  Cornhuskers, Huskers",2018
ReceivingYards,Stanley Morgan Jr.,986,"Nebraska  Cornhuskers, Huskers",2018
Rush Net Yards,Devine Ozigbo,493,"Nebraska  Cornhuskers, Huskers",2018
Sacks,Ben Stille,3.5,"Nebraska  Cornhuskers, Huskers",2018
Tackles,Chris Weber,87,"Nebraska  Cornhuskers, Huskers",2018
Tot Off,Tanner Lee,3046,"Nebraska  Cornhuskers, Huskers",2018
APY,Kelton Moore,1044,Nevada  Wolf Pack,2018
FGM,Spencer Pettit,8,Nevada  Wolf Pack,2018
Int,Dameon Baber,3,Nevada  Wolf Pack,2018
Pass Eff,Kelton Moore,908.80,Nevada  Wolf Pack,2018
Points,Wyatt Demps,68,Nevada  Wolf Pack,2018
Punt Avg,Quinton Conaway,476.8,Nevada  Wolf Pack,2018
Punt Ret Yds,Mclane Mannix,51,Nevada  Wolf Pack,2018
Rec,Wyatt Demps,67,Nevada  Wolf Pack,2018
ReceivingYards,Wyatt Demps,908,Nevada  Wolf Pack,2018
Rush Net Yards,Kelton Moore,855,Nevada  Wolf Pack,2018
Sacks,Malik Reed,8.0,Nevada  Wolf Pack,2018
Tackles,Austin Paulhus,112,Nevada  Wolf Pack,2018
Tot Off,Ty Gangi,2926,Nevada  Wolf Pack,2018
APY,Tyrone Owens,790,New Mexico  Lobos,2018
FGM,Jason Sanders,10,New Mexico  Lobos,2018
Int,Jacob Girgle,2,New Mexico  Lobos,2018
Pass Eff,Coltin Gerhart,108.34,New Mexico  Lobos,2018
Points,Jason Sanders,58,New Mexico  Lobos,2018
Punt Avg,Corey Bojorquez,567.4,New Mexico  Lobos,2018
Punt Ret Yds,Chris Davis,31,New Mexico  Lobos,2018
Rec,Jay Griffin IV,29,New Mexico  Lobos,2018
ReceivingYards,Jay Griffin IV,393,New Mexico  Lobos,2018
Rush Net Yards,Tyrone Owens,770,New Mexico  Lobos,2018
Sacks,Emmanuel Joseph,2.5,New Mexico  Lobos,2018
Tackles,Jake Rothschiller,76,New Mexico  Lobos,2018
Tot Off,Lamar Jordan,947,New Mexico  Lobos,2018
APY,Larry Rose III,1359,New Mexico St. Aggies,2018
FGM,Dylan Brown,11,New Mexico St. Aggies,2018
Int,Shamad Lomax,4,New Mexico St. Aggies,2018
Pass Eff,Conner Cramer,286.40,New Mexico St. Aggies,2018
Points,Dylan Brown,70,New Mexico St. Aggies,2018
Punt Avg,Payton Theisler,505.4,New Mexico St. Aggies,2018
Punt Ret Yds,Larry Rose III,71,New Mexico St. Aggies,2018
Rec,Jaleel Scott,73,New Mexico St. Aggies,2018
ReceivingYards,Jaleel Scott,1042,New Mexico St. Aggies,2018
Rush Net Yards,Larry Rose III,807,New Mexico St. Aggies,2018
Sacks,Cedric Wilcots II,8.5,New Mexico St. Aggies,2018
Tackles,Dalton Herrington,124,New Mexico St. Aggies,2018
Tot Off,Tyler Rogers,3829,New Mexico St. Aggies,2018
APY,Anthony Ratliff-Williams,1526,North Carolina  Tar Heels,2018
FGM,Freeman Jones,9,North Carolina  Tar Heels,2018
Int,Myles Wolfolk,2,North Carolina  Tar Heels,2018
Pass Eff,Anthony Ratliff-Williams,420.60,North Carolina  Tar Heels,2018
Points,Freeman Jones,64,North Carolina  Tar Heels,2018
Punt Avg,Tom Sheldon,362.8,North Carolina  Tar Heels,2018
Punt Ret Yds,M.J. Stewart,170,North Carolina  Tar Heels,2018
Rec,Anthony Ratliff-Williams,35,North Carolina  Tar Heels,2018
ReceivingYards,Anthony Ratliff-Williams,630,North Carolina  Tar Heels,2018
Rush Net Yards,Jordon Brown,613,North Carolina  Tar Heels,2018
Sacks,Malik Carney,5.5,North Carolina  Tar Heels,2018
Tackles,Cole Holcomb,93,North Carolina  Tar Heels,2018
Tot Off,Chazz Surratt,1552,North Carolina  Tar Heels,2018
APY,Jeffery Wilson,1383,North Texas Mean Green,2018
FGM,Trevor Moore,20,North Texas Mean Green,2018
Int,Kishawn McClain,2,North Texas Mean Green,2018
Pass Eff,Quinn Shanbour,169.27,North Texas Mean Green,2018
Points,Trevor Moore,115,North Texas Mean Green,2018
Punt Avg,Blake Patterson,361.0,North Texas Mean Green,2018
Punt Ret Yds,Jaelon Darden,119,North Texas Mean Green,2018
Rec,Michael Lawrence,62,North Texas Mean Green,2018
ReceivingYards,Michael Lawrence,819,North Texas Mean Green,2018
Rush Net Yards,Jeffery Wilson,1215,North Texas Mean Green,2018
Sacks,E.J. Ejiya,7.0,North Texas Mean Green,2018
Tackles,E.J. Ejiya,109,North Texas Mean Green,2018
Tot Off,Mason Fine,4069,North Texas Mean Green,2018
APY,Jordan Huff,806,Northern Ill. Huskies,2018
FGM,Christian Hagan,9,Northern Ill. Huskies,2018
Int,Jawuan Johnson,5,Northern Ill. Huskies,2018
Pass Eff,Daniel Santacaterina,139.08,Northern Ill. Huskies,2018
Points,Christian Hagan,74,Northern Ill. Huskies,2018
Punt Avg,Matt Ference,482.1,Northern Ill. Huskies,2018
Punt Ret Yds,Chad Beebe,62,Northern Ill. Huskies,2018
Rec,Spencer Tears,39,Northern Ill. Huskies,2018
ReceivingYards,Spencer Tears,461,Northern Ill. Huskies,2018
Rush Net Yards,Jordan Huff,740,Northern Ill. Huskies,2018
Sacks,Sutton Smith,14.0,Northern Ill. Huskies,2018
Tackles,Bobby Jones,97,Northern Ill. Huskies,2018
Tot Off,Marcus Childers,1894,Northern Ill. Huskies,2018
APY,Justin Jackson,1420,Northwestern Wildcats,2018
FGM,Charlie Kuhbander,12,Northwestern Wildcats,2018
Int,Kyle Queiro,4,Northwestern Wildcats,2018
Pass Eff,Justin Jackson,530.80,Northwestern Wildcats,2018
Points,Charlie Kuhbander,76,Northwestern Wildcats,2018
Punt Avg,Hunter Niswander,519.3,Northwestern Wildcats,2018
Punt Ret Yds,Riley Lees,78,Northwestern Wildcats,2018
Rec,Flynn Nagel,47,Northwestern Wildcats,2018
ReceivingYards,Ben Skowronek,619,Northwestern Wildcats,2018
Rush Net Yards,Justin Jackson,1154,Northwestern Wildcats,2018
Sacks,Joe Gaziano,8.0,Northwestern Wildcats,2018
Tackles,Paddy Fisher,110,Northwestern Wildcats,2018
Tot Off,Clayton Thorson,2838,Northwestern Wildcats,2018
APY,Josh Adams,1468,Notre Dame Fighting Irish,2018
FGM,Justin Yoon,12,Notre Dame Fighting Irish,2018
Int,Julian Love,3,Notre Dame Fighting Irish,2018
